call_id,call_date,organizer_email,duration_minutes,participant_count,call_type,department
TEAMS-000109,2018-01-23 16:19:00,U0080@acmecorp.com,20,8,video,Legal
TEAMS-000110,2018-01-23 13:20:00,U0072@acmecorp.com,53,2,video,Operations
TEAMS-000111,2018-01-24 11:05:00,U0161@acmecorp.com,50,2,video,Marketing
TEAMS-000112,2018-01-24 12:01:00,U0175@acmecorp.com,53,2,audio,Operations
TEAMS-000113,2018-01-24 11:08:00,U0060@acmecorp.com,61,8,audio,Marketing
TEAMS-000114,2018-01-24 12:00:00,U0059@acmecorp.com,26,2,audio,Engineering
TEAMS-000115,2018-01-25 13:00:00,U0137@acmecorp.com,68,2,screen_share,Engineering
TEAMS-000116,2018-01-25 12:50:00,U0060@acmecorp.com,5,5,video,Marketing
TEAMS-000117,2018-01-25 13:48:00,U0015@acmecorp.com,30,2,audio,Operations
TEAMS-000118,2018-01-25 12:55:00,U0013@acmecorp.com,71,5,video,Human Resources
TEAMS-000119,2018-01-25 13:34:00,U0076@acmecorp.com,25,4,screen_share,Engineering
TEAMS-000120,2018-01-26 11:06:00,U0175@acmecorp.com,62,4,video,Operations
TEAMS-000121,2018-01-26 12:42:00,U0176@acmecorp.com,23,3,video,Sales
TEAMS-000122,2018-01-26 11:36:00,U0016@acmecorp.com,5,4,audio,Operations
TEAMS-000123,2018-01-26 12:27:00,U0171@acmecorp.com,5,8,audio,Finance
TEAMS-000124,2018-01-26 13:09:00,U0101@acmecorp.com,6,2,screen_share,Operations
TEAMS-000125,2018-01-26 13:33:00,U0096@acmecorp.com,52,2,screen_share,Sales
TEAMS-000126,2018-01-26 10:42:00,U0076@acmecorp.com,56,8,audio,Engineering
TEAMS-000127,2018-01-26 11:06:00,U0184@acmecorp.com,70,2,screen_share,Engineering
TEAMS-000128,2018-01-29 14:54:00,U0043@acmecorp.com,31,2,video,Engineering
TEAMS-000129,2018-01-29 13:39:00,U0043@acmecorp.com,11,3,video,Engineering
TEAMS-000130,2018-01-29 12:19:00,U0059@acmecorp.com,43,10,video,Engineering
TEAMS-000131,2018-01-29 11:17:00,U0059@acmecorp.com,32,2,audio,Engineering
TEAMS-000132,2018-01-29 13:19:00,U0193@acmecorp.com,5,2,video,Engineering
TEAMS-000133,2018-01-29 10:44:00,U0198@acmecorp.com,25,8,video,Engineering
TEAMS-000134,2018-01-29 14:40:00,U0072@acmecorp.com,18,5,audio,Operations
TEAMS-000135,2018-01-30 14:49:00,U0101@acmecorp.com,19,6,audio,Operations
TEAMS-000136,2018-01-30 12:26:00,U0043@acmecorp.com,53,4,video,Engineering
TEAMS-000137,2018-01-30 11:05:00,U0193@acmecorp.com,73,4,video,Engineering
TEAMS-000138,2018-01-30 11:09:00,U0049@acmecorp.com,37,2,video,Sales
TEAMS-000139,2018-01-30 11:32:00,U0176@acmecorp.com,21,2,audio,Sales
TEAMS-000140,2018-01-30 09:05:00,U0184@acmecorp.com,5,3,audio,Engineering
TEAMS-000141,2018-01-30 18:19:00,U0016@acmecorp.com,40,3,video,Operations
TEAMS-000142,2018-01-30 14:50:00,U0099@acmecorp.com,49,8,video,Finance
TEAMS-000143,2018-01-30 14:00:00,U0103@acmecorp.com,73,4,video,Engineering
TEAMS-000144,2018-01-30 16:24:00,U0092@acmecorp.com,53,3,screen_share,Marketing
TEAMS-000145,2018-01-30 13:29:00,U0137@acmecorp.com,38,2,video,Engineering
TEAMS-000146,2018-01-30 12:22:00,U0185@acmecorp.com,5,3,audio,Engineering
TEAMS-000147,2018-01-31 13:04:00,U0184@acmecorp.com,36,2,audio,Engineering
TEAMS-000148,2018-01-31 08:13:00,U0076@acmecorp.com,44,3,video,Engineering
TEAMS-000149,2018-01-31 12:11:00,U0147@acmecorp.com,48,2,video,IT
TEAMS-000150,2018-01-31 14:57:00,U0034@acmecorp.com,40,4,video,Engineering
TEAMS-000151,2018-01-31 15:16:00,U0147@acmecorp.com,38,3,screen_share,IT
TEAMS-000152,2018-01-31 11:07:00,U0051@acmecorp.com,22,3,audio,Finance
TEAMS-000153,2018-01-31 13:10:00,U0111@acmecorp.com,50,2,screen_share,Operations
TEAMS-000154,2018-02-01 11:01:00,U0120@acmecorp.com,20,4,audio,Engineering
TEAMS-000155,2018-02-01 12:35:00,U0036@acmecorp.com,56,2,screen_share,Sales
TEAMS-000156,2018-02-01 14:36:00,U0191@acmecorp.com,27,4,audio,Engineering
TEAMS-000157,2018-02-01 16:05:00,U0112@acmecorp.com,35,8,audio,Human Resources
TEAMS-000158,2018-02-01 14:30:00,U0100@acmecorp.com,17,4,video,Sales
TEAMS-000159,2018-02-01 12:37:00,U0079@acmecorp.com,70,2,screen_share,Sales
TEAMS-000160,2018-02-02 13:18:00,U0016@acmecorp.com,31,5,audio,Operations
TEAMS-000161,2018-02-02 11:29:00,U0111@acmecorp.com,35,8,video,Operations
TEAMS-000162,2018-02-02 15:19:00,U0071@acmecorp.com,18,3,screen_share,IT
TEAMS-000163,2018-02-02 10:58:00,U0049@acmecorp.com,36,3,audio,Sales
TEAMS-000164,2018-02-02 14:52:00,U0092@acmecorp.com,65,8,audio,Marketing
TEAMS-000165,2018-02-02 11:38:00,U0176@acmecorp.com,20,2,audio,Sales
TEAMS-000166,2018-02-05 09:18:00,U0072@acmecorp.com,40,2,audio,Operations
TEAMS-000167,2018-02-05 15:04:00,U0141@acmecorp.com,68,2,video,Sales
TEAMS-000168,2018-02-05 16:59:00,U0176@acmecorp.com,36,2,screen_share,Sales
TEAMS-000169,2018-02-05 12:51:00,U0193@acmecorp.com,71,2,screen_share,Engineering
TEAMS-000170,2018-02-05 10:40:00,U0060@acmecorp.com,35,2,video,Marketing
TEAMS-000171,2018-02-06 11:08:00,U0137@acmecorp.com,24,2,audio,Engineering
TEAMS-000172,2018-02-06 09:45:00,U0176@acmecorp.com,46,2,video,Sales
TEAMS-000173,2018-02-06 18:19:00,U0150@acmecorp.com,66,5,screen_share,Engineering
TEAMS-000174,2018-02-06 15:37:00,U0193@acmecorp.com,13,6,video,Engineering
TEAMS-000175,2018-02-06 10:02:00,U0120@acmecorp.com,24,2,screen_share,Engineering
TEAMS-000176,2018-02-06 11:58:00,U0184@acmecorp.com,31,5,video,Engineering
TEAMS-000177,2018-02-07 12:27:00,U0120@acmecorp.com,44,7,video,Engineering
TEAMS-000178,2018-02-07 17:58:00,U0172@acmecorp.com,63,7,audio,Sales
TEAMS-000179,2018-02-07 16:49:00,U0112@acmecorp.com,5,2,audio,Human Resources
TEAMS-000180,2018-02-07 11:57:00,U0049@acmecorp.com,46,2,video,Sales
TEAMS-000181,2018-02-07 08:06:00,U0122@acmecorp.com,31,5,video,Sales
TEAMS-000182,2018-02-07 10:12:00,U0112@acmecorp.com,59,3,video,Human Resources
TEAMS-000183,2018-02-07 12:53:00,U0175@acmecorp.com,27,5,video,Operations
TEAMS-000184,2018-02-07 16:46:00,U0112@acmecorp.com,5,3,video,Human Resources
TEAMS-000185,2018-02-08 13:43:00,U0185@acmecorp.com,13,8,video,Engineering
TEAMS-000186,2018-02-08 11:12:00,U0015@acmecorp.com,19,2,video,Operations
TEAMS-000187,2018-02-08 11:31:00,U0092@acmecorp.com,27,3,audio,Marketing
TEAMS-000188,2018-02-08 12:03:00,U0071@acmecorp.com,36,2,screen_share,IT
TEAMS-000189,2018-02-08 17:35:00,U0072@acmecorp.com,39,3,video,Operations
TEAMS-000190,2018-02-08 17:54:00,U0030@acmecorp.com,42,2,video,Legal
TEAMS-000191,2018-02-08 12:16:00,U0049@acmecorp.com,68,2,video,Sales
TEAMS-000192,2018-02-08 13:13:00,U0172@acmecorp.com,18,3,screen_share,Sales
TEAMS-000193,2018-02-09 12:01:00,U0119@acmecorp.com,54,6,screen_share,Human Resources
TEAMS-000194,2018-02-09 18:41:00,U0008@acmecorp.com,31,4,video,Engineering
TEAMS-000195,2018-02-09 09:41:00,U0137@acmecorp.com,53,4,audio,Engineering
TEAMS-000196,2018-02-09 11:37:00,U0034@acmecorp.com,16,4,audio,Engineering
TEAMS-000197,2018-02-09 15:00:00,U0134@acmecorp.com,47,8,audio,Human Resources
TEAMS-000198,2018-02-09 10:53:00,U0137@acmecorp.com,57,2,video,Engineering
TEAMS-000199,2018-02-09 11:20:00,U0112@acmecorp.com,13,2,video,Human Resources
TEAMS-000200,2018-02-09 15:39:00,U0047@acmecorp.com,13,3,video,Human Resources
TEAMS-000201,2018-02-12 16:23:00,U0047@acmecorp.com,15,2,video,Human Resources
TEAMS-000202,2018-02-13 14:26:00,U0198@acmecorp.com,53,3,screen_share,Engineering
TEAMS-000203,2018-02-13 14:32:00,U0111@acmecorp.com,31,2,video,Operations
TEAMS-000204,2018-02-13 14:00:00,U0185@acmecorp.com,5,4,screen_share,Engineering
TEAMS-000205,2018-02-13 13:01:00,U0120@acmecorp.com,58,2,audio,Engineering
TEAMS-000206,2018-02-13 16:56:00,U0099@acmecorp.com,56,2,audio,Finance
TEAMS-000207,2018-02-13 11:49:00,U0137@acmecorp.com,5,8,audio,Engineering
TEAMS-000208,2018-02-13 10:06:00,U0112@acmecorp.com,10,3,screen_share,Human Resources
TEAMS-000209,2018-02-13 16:49:00,U0134@acmecorp.com,47,3,video,Human Resources
TEAMS-000210,2018-02-13 15:25:00,U0120@acmecorp.com,22,4,video,Engineering
TEAMS-000211,2018-02-13 08:05:00,U0072@acmecorp.com,39,10,video,Operations
TEAMS-000212,2018-02-13 13:29:00,U0172@acmecorp.com,33,3,video,Sales
TEAMS-000213,2018-02-13 16:53:00,U0101@acmecorp.com,5,4,video,Operations
TEAMS-000214,2018-02-14 11:14:00,U0016@acmecorp.com,15,5,audio,Operations
TEAMS-000215,2018-02-14 12:49:00,U0049@acmecorp.com,42,2,screen_share,Sales
TEAMS-000216,2018-02-14 17:55:00,U0072@acmecorp.com,40,5,video,Operations
TEAMS-000217,2018-02-14 14:19:00,U0153@acmecorp.com,52,3,audio,Engineering
TEAMS-000218,2018-02-14 13:50:00,U0101@acmecorp.com,24,4,video,Operations
TEAMS-000219,2018-02-14 11:31:00,U0192@acmecorp.com,43,6,video,Legal
TEAMS-000220,2018-02-14 11:42:00,U0172@acmecorp.com,45,14,screen_share,Sales
TEAMS-000221,2018-02-14 14:25:00,U0034@acmecorp.com,20,2,audio,Engineering
TEAMS-000222,2018-02-15 14:34:00,U0167@acmecorp.com,50,4,screen_share,Engineering
TEAMS-000223,2018-02-15 11:19:00,U0167@acmecorp.com,21,2,video,Engineering
TEAMS-000224,2018-02-15 16:47:00,U0167@acmecorp.com,34,5,screen_share,Engineering
TEAMS-000225,2018-02-15 15:17:00,U0047@acmecorp.com,5,3,audio,Human Resources
TEAMS-000226,2018-02-15 14:44:00,U0171@acmecorp.com,47,4,video,Finance
TEAMS-000227,2018-02-15 12:47:00,U0119@acmecorp.com,10,6,video,Human Resources
TEAMS-000228,2018-02-15 13:09:00,U0161@acmecorp.com,71,2,screen_share,Marketing
TEAMS-000229,2018-02-15 10:25:00,U0149@acmecorp.com,46,2,video,Marketing
TEAMS-000230,2018-02-16 18:59:00,U0136@acmecorp.com,46,4,video,Operations
TEAMS-000231,2018-02-16 15:26:00,U0103@acmecorp.com,85,5,video,Engineering
TEAMS-000232,2018-02-16 17:37:00,U0136@acmecorp.com,24,7,screen_share,Operations
TEAMS-000233,2018-02-16 11:56:00,U0137@acmecorp.com,37,3,screen_share,Engineering
TEAMS-000234,2018-02-16 08:03:00,U0103@acmecorp.com,48,7,video,Engineering
TEAMS-000235,2018-02-16 13:26:00,U0150@acmecorp.com,44,2,audio,Engineering
TEAMS-000236,2018-02-16 10:59:00,U0122@acmecorp.com,26,3,audio,Sales
TEAMS-000237,2018-02-19 12:34:00,U0060@acmecorp.com,37,2,video,Marketing
TEAMS-000238,2018-02-19 11:41:00,U0092@acmecorp.com,16,2,screen_share,Marketing
TEAMS-000239,2018-02-19 10:27:00,U0167@acmecorp.com,16,3,video,Engineering
TEAMS-000240,2018-02-19 14:50:00,U0036@acmecorp.com,33,2,screen_share,Sales
TEAMS-000241,2018-02-19 09:55:00,U0047@acmecorp.com,6,14,video,Human Resources
TEAMS-000242,2018-02-19 08:29:00,U0137@acmecorp.com,44,4,video,Engineering
TEAMS-000243,2018-02-19 10:24:00,U0072@acmecorp.com,36,2,video,Operations
TEAMS-000244,2018-02-20 11:11:00,U0161@acmecorp.com,21,2,screen_share,Marketing
TEAMS-000245,2018-02-20 13:47:00,U0092@acmecorp.com,16,2,audio,Marketing
TEAMS-000246,2018-02-20 11:30:00,U0030@acmecorp.com,25,9,video,Legal
TEAMS-000247,2018-02-20 09:05:00,U0137@acmecorp.com,35,3,audio,Engineering
TEAMS-000248,2018-02-20 08:50:00,U0172@acmecorp.com,68,3,screen_share,Sales
TEAMS-000249,2018-02-20 16:28:00,U0015@acmecorp.com,10,4,screen_share,Operations
TEAMS-000250,2018-02-20 18:43:00,U0153@acmecorp.com,59,2,audio,Engineering
TEAMS-000251,2018-02-20 10:17:00,U0025@acmecorp.com,30,4,video,Legal
TEAMS-000252,2018-02-21 11:52:00,U0192@acmecorp.com,34,3,audio,Legal
TEAMS-000253,2018-02-21 11:06:00,U0100@acmecorp.com,6,5,audio,Sales
TEAMS-000254,2018-02-21 14:16:00,U0137@acmecorp.com,37,7,screen_share,Engineering
TEAMS-000255,2018-02-21 11:49:00,U0072@acmecorp.com,7,3,video,Operations
TEAMS-000256,2018-02-21 17:09:00,U0079@acmecorp.com,52,2,video,Sales
TEAMS-000257,2018-02-21 17:52:00,U0013@acmecorp.com,27,13,audio,Human Resources
TEAMS-000258,2018-02-21 18:25:00,U0153@acmecorp.com,21,7,video,Engineering
TEAMS-000259,2018-02-22 09:57:00,U0172@acmecorp.com,5,3,audio,Sales
TEAMS-000260,2018-02-22 14:20:00,U0036@acmecorp.com,52,2,video,Sales
TEAMS-000261,2018-02-22 12:49:00,U0082@acmecorp.com,46,3,audio,Human Resources
TEAMS-000262,2018-02-22 10:30:00,U0030@acmecorp.com,37,2,screen_share,Legal
TEAMS-000263,2018-02-22 12:01:00,U0147@acmecorp.com,46,6,audio,IT
TEAMS-000264,2018-02-22 11:57:00,U0072@acmecorp.com,52,4,video,Operations
TEAMS-000265,2018-02-22 15:25:00,U0030@acmecorp.com,25,5,video,Legal
TEAMS-000266,2018-02-22 11:31:00,U0059@acmecorp.com,18,5,audio,Engineering
TEAMS-000267,2018-02-23 18:47:00,U0119@acmecorp.com,46,7,audio,Human Resources
TEAMS-000268,2018-02-26 13:26:00,U0072@acmecorp.com,39,4,video,Operations
TEAMS-000269,2018-02-26 15:23:00,U0191@acmecorp.com,11,4,video,Engineering
TEAMS-000270,2018-02-26 17:36:00,U0060@acmecorp.com,36,2,video,Marketing
TEAMS-000271,2018-02-26 11:14:00,U0080@acmecorp.com,21,5,screen_share,Legal
TEAMS-000272,2018-02-26 14:12:00,U0167@acmecorp.com,20,2,video,Engineering
TEAMS-000273,2018-02-26 10:17:00,U0043@acmecorp.com,14,4,video,Engineering
TEAMS-000274,2018-02-26 15:18:00,U0008@acmecorp.com,59,4,audio,Engineering
TEAMS-000275,2018-02-26 18:33:00,U0150@acmecorp.com,12,3,audio,Engineering
TEAMS-000276,2018-02-26 13:44:00,U0036@acmecorp.com,11,3,screen_share,Sales
TEAMS-000277,2018-02-27 14:47:00,U0099@acmecorp.com,44,2,video,Finance
TEAMS-000278,2018-02-27 11:47:00,U0141@acmecorp.com,8,3,audio,Sales
TEAMS-000279,2018-02-27 13:58:00,U0136@acmecorp.com,45,3,audio,Operations
TEAMS-000280,2018-02-27 18:57:00,U0076@acmecorp.com,15,3,video,Engineering
TEAMS-000281,2018-02-27 15:31:00,U0122@acmecorp.com,34,3,video,Sales
TEAMS-000282,2018-02-27 14:43:00,U0082@acmecorp.com,28,3,video,Human Resources
TEAMS-000283,2018-02-27 13:05:00,U0076@acmecorp.com,85,2,video,Engineering
TEAMS-000284,2018-02-27 11:09:00,U0172@acmecorp.com,56,2,video,Sales
TEAMS-000285,2018-02-27 09:35:00,U0150@acmecorp.com,12,6,audio,Engineering
TEAMS-000286,2018-02-27 14:30:00,U0092@acmecorp.com,56,5,screen_share,Marketing
TEAMS-000287,2018-02-28 14:43:00,U0198@acmecorp.com,30,4,video,Engineering
TEAMS-000288,2018-02-28 10:18:00,U0016@acmecorp.com,34,2,screen_share,Operations
TEAMS-000289,2018-02-28 14:22:00,U0049@acmecorp.com,44,7,screen_share,Sales
TEAMS-000290,2018-02-28 15:18:00,U0013@acmecorp.com,53,6,audio,Human Resources
TEAMS-000291,2018-02-28 08:54:00,U0153@acmecorp.com,49,3,video,Engineering
TEAMS-000292,2018-02-28 17:59:00,U0051@acmecorp.com,32,7,screen_share,Finance
TEAMS-000293,2018-02-28 11:19:00,U0137@acmecorp.com,35,4,screen_share,Engineering
TEAMS-000294,2018-02-28 08:29:00,U0080@acmecorp.com,54,14,video,Legal
TEAMS-000295,2018-02-28 14:47:00,U0119@acmecorp.com,31,4,screen_share,Human Resources
TEAMS-000296,2018-02-28 13:38:00,U0034@acmecorp.com,26,4,audio,Engineering
TEAMS-000297,2018-02-28 08:05:00,U0008@acmecorp.com,48,3,audio,Engineering
TEAMS-000298,2018-03-01 08:08:00,U0045@acmecorp.com,38,4,video,Operations
TEAMS-000299,2018-03-01 13:56:00,U0078@acmecorp.com,69,2,video,Sales
TEAMS-000300,2018-03-01 14:20:00,U0193@acmecorp.com,35,2,audio,Engineering
TEAMS-000301,2018-03-01 09:45:00,U0171@acmecorp.com,12,5,audio,Finance
TEAMS-000302,2018-03-01 15:57:00,U0141@acmecorp.com,11,5,screen_share,Sales
TEAMS-000303,2018-03-01 16:06:00,U0184@acmecorp.com,8,2,video,Engineering
TEAMS-000304,2018-03-01 13:50:00,U0078@acmecorp.com,16,8,video,Sales
TEAMS-000305,2018-03-01 14:37:00,U0051@acmecorp.com,61,3,video,Finance
